id,country,city,zone,address,latitude,longitude,initialOwner
787,italy,milano,stazione centrale,via napo torriani 22,45.5307298,9.3318607,
788,italy,milano,tortona,via tortona 36,45.4504106,9.1558851,
789,italy,milano,porta romana,via seneca 2,45.4541536,9.2084856,
790,italy,milano,xxii marzo,via lodovico mancini 15,45.4623592,9.2097601,
791,italy,milano,fiera,via marghera 36,45.4672365,9.1533669,
792,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
814,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
815,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
816,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
829,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
830,italy,milano,porta romana,via spartaco 38,45.4583337,9.2111915,
831,italy,milano,porta romana,via maffei 8,45.4857041,8.9639948,
832,italy,milano,porta romana,via maffei 8,45.4857041,8.9639948,
833,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
835,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
836,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
837,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
848,italy,milano,porta romana,via fogazzaro 9,45.5743249,8.803394,
849,italy,milano,de angeli,via marghera 36,45.4672365,9.1533669,
872,italy,milano,lorenteggio,via da schio 3,45.4494718,9.1389881,
873,italy,milano,porta ticinese,via arena 25,45.4555948,9.1790688,
877,italy,milano,pagano,via rasori 7,45.4678811,9.1608444,
878,italy,milano,centro storico,via marco d'oggiono 4,45.4560621,9.1771787,
909,italy,milano,forze armate,via delle forze armate 249,45.4601514,9.0974368,
910,italy,milano,porta romana,via bergamo 1,45.5910382,9.0703686,
919,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
920,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
921,italy,milano,isola,via alserio 1,45.4914399,9.1840375,
923,italy,milano,centro storico,corso di porta vittoria 58,45.4624694,9.1978834,
924,italy,milano,centro storico,corso di porta vittoria 58,45.4624694,9.1978834,
928,italy,milano,stazione centrale,via franchino gaffurio 1,45.4845135,9.2099922,
964,italy,milano ,san siro,via monreale 3,45.4758567,9.1405913,
968,italy,milano,bocconi,viale beatrice d'este 30,45.4520294,9.1911302,
969,italy,milano,lotto,viale serra 14,,,
970,italy,milano,centro,via burigozzo 8,45.4533318,9.1868304,
1001,italy,milano,portello,via tavazzano ,45.4920987,9.1480733,
1062,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
1063,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
1064,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
1065,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
1066,italy,milano,porta romana,via lazzaro papi 20,45.4502867,9.2068204,
1069,italy,milano,bocconi,via lodovico mancini 15,45.4623592,9.2097601,
1071,italy,milano,bocconi,viale beatrice d'este 30,45.4520294,9.1911302,
1103,italy,milano,bocconi,viale beatrice d'este 30,45.4520294,9.1911302,
1105,italy,milano,isola,via scalvini 5,45.4993288,9.1687947,
1129,italy,milano,bisceglie,viale forze armate 249,45.4631841,9.1358499,
1130,italy,milano,bisceglie,viale forze armate 249,45.4631841,9.1358499,
1131,italy,milano,bisceglie,viale forze armate 249,45.4631841,9.1358499,
1171,italy,milano,lorenteggio,via da schio 3,45.6793643,11.5515688,
1173,italy,milano,lorenteggio,via da schio 3,45.6793643,11.5515688,
1174,italy,milano,garibaldi,piazza xv aprile 5,,,
1175,italy,milano,repubblica,via franchetti 4,45.47974,9.2000883,
